Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Finland,2826000,2875000,2601000,2840000,3140000,3375000,3519000,3583000,3423000,3670000,4192000,4226000,2797000,2731000,2622000,2789000,3180000,3224000,3290000,896000
Fiji,446000,461000,451000,513000,547000,,542000,627000,605000,692000,734000,741000,769000,781000,869000,963000,1027000,1058000,969000,168000
France,,,,190282000,185829000,193882000,193319000,193571000,192369000,189826000,196595000,197522000,204410000,206599000,203302000,203042000,207274000,211998000,217877000,117109000
Faroe Islands,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",15300.00019,19100.00038,18200.00076,19299.99924,19000,19100.00038,21100.00038,25700.00076,47500,44700.00076,35400.00153,38299.99924,42099.99847,35400.00153,31200.00076,29600.00038,,19200.00076,18000,
Gabon,236000,269000,234000,351000,526000,,,,,,,,,,,,,,,
United Kingdom,22835000,24180000,24715000,27755000,29970000,32713000,32778000,31888000,31072000,30398000,31886000,32221000,33567000,35337000,36792000,39129000,41080000,40283000,40857000,11101000
Georgia,302000,298000,313000,368000,560000,983000,1052000,1290000,1500000,2032000,2712000,4106000,4954000,5004000,5256000,5393000,6483000,7203000,7726000,1513000
Ghana,439000,483000,531000,584000,429000,497000,587000,698000,803000,931000,821000,903000,994000,825000,897000,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,
Guinea,38000,43000,44000,45000,45000,46099.99847,30000,24000,,12399.99962,131000,96000,56000,33000,35000,63000,99000,,,
"Gambia, The",57000,81000,89000,90000,108000,125000,143000,147000,142000,91000,106000,157000,171000,156000,449000,450000,522000,552000,620000,246000
Guinea-Bissau,7800.000191,,,,5000,11600.00038,15600.00038,18000,16000,22299.99924,36700.00076,35400.00153,35500,36099.99847,43799.99924,45200.00076,49500,55000,52400.00153,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,
Greece,14678000,14918000,14785000,14268000,15938000,17284000,,,,,,,20112000,24272000,26114000,28071000,30161000,33072000,34005000,7406000
