,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
146,"Macao SAR, China",2697000.0,2306000.0,2286000.0,2457000.0,629000.0,645000.0,599000.0,606000.0,671000.0,753000.0,908000.0,1291000.0,1446000.0,1537000.0,1466000.0,1251000.0,1391000.0,1780000.0,1765000.0,125000.0,122317.18821746597,120051.27352553672,115904.01176259681,114598.60557340954,113902.04060632933,114441.45735362705
148,Morocco,1701000.0,1533000.0,1612000.0,1603000.0,2247000.0,2135000.0,2669000.0,3421000.0,2293000.0,2175000.0,2378000.0,2323000.0,2195000.0,1850000.0,1910000.0,1864000.0,1849000.0,1923000.0,2009000.0,646000.0,1046230.8872740712,951420.6173412856,975419.5056803373,1036085.4560848183,1242950.3516267096,1201426.0609509351
154,Mexico,123732000.0,124633000.0,123015000.0,128903000.0,128392000.0,122022000.0,109540000.0,107519000.0,98228000.0,91658000.0,88113000.0,87332000.0,90787000.0,90982000.0,94988000.0,97372000.0,94274000.0,86280000.0,82752000.0,36056000.0,28455384.836226784,26838321.946990807,26486230.10128221,28055224.192687936,28144651.901761733,30002181.1597876
156,Middle income,311083867.1,318157017.9,330252807.4,361477105.7,379523713.2,387914023.1,397553172.7,410031277.0,396188851.6,419234983.0,454402867.6,489487269.6,541727738.5,560270007.0,584542020.2,619488840.6,664720016.7,676540976.2,692705030.1,36056000.0,31922758.00822573,20522008.728463452,13647604.08434605,7825356.476952938,6506321.036922834,5156001.036491103
167,Mauritius,161000.0,162000.0,161000.0,180000.0,183000.0,186000.0,213000.0,226000.0,196000.0,212000.0,219000.0,237000.0,228000.0,223000.0,242000.0,260000.0,283000.0,296000.0,320000.0,65000.0,74477.85184170144,69502.0794160875,58746.42252183154,63792.38918252303,66875.37611164719,56193.01321320846
170,North America,111587576.6,106504719.5,99923424.98,104905071.9,104333299.8,195429088.7,190429282.1,187919387.2,177467474.7,175226064.5,176030211.6,181537219.4,184781813.1,185469939.0,186369103.6,194540598.9,203037153.6,196550372.9,208814203.0,65000.0,64031.793753033155,64094.73840326259,64519.83566083361,64765.57167021636,64817.25212423184,64884.55578256984
172,New Caledonia,68000.0,72000.0,78000.0,89000.0,96000.0,100000.0,106000.0,112000.0,119000.0,132000.0,124000.0,121000.0,121000.0,124000.0,127000.0,134000.0,135000.0,139000.0,144000.0,48000.0,39856.699485841615,42778.38284691399,43980.42853378756,43980.42853378756,42778.38284691399,41636.76586288145
175,Nicaragua,499000.0,532000.0,562000.0,701000.0,740000.0,773000.0,949000.0,942000.0,858000.0,908000.0,912000.0,979000.0,994000.0,959000.0,925000.0,981000.0,982000.0,974000.0,949000.0,325000.0,323724.1537561877,323876.4465227218,326342.51647530956,326873.9051310064,325622.5727603102,324367.31195106386
176,Netherlands,14214000.0,16719000.0,16425000.0,17130000.0,17039000.0,16695000.0,17523000.0,18399000.0,18340000.0,18368000.0,18560000.0,18628000.0,18094000.0,17928000.0,17535000.0,18152000.0,20763000.0,20981000.0,22045000.0,325000.0,328343.3030056465,308261.1895445184,301494.45624808647,359702.8145875172,380397.3215739556,435171.4776600628
177,Norway,2348000.0,2629000.0,2588000.0,2960000.0,3166000.0,3236000.0,3395000.0,18399000.0,6640000.0,7590000.0,8130000.0,9250000.0,9280000.0,9190000.0,8750000.0,8030000.0,8170000.0,8110000.0,8890000.0,1690000.0,3994935.5565288696,3736881.6236967,3296485.61515147,3286131.2690493143,3317394.2092773933,3479356.7493082797
