Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,
Hungary,11167000,12966000,14283000,17558000,17759000,16597000,17056000,17162000,16640000,16082000,16634000,16143000,16038000,16340000,17276000,18895000,20297000,22805000,24860000,12727000
IBRD only,320107966.7,316976995.4,319711392.9,343892395.1,363007459.7,373979327.9,384376425.2,399957489.9,375531747.2,400055012.1,429376700,463213880.3,509920169.7,505478327.8,534814850.5,561469376.8,600371930,606878384.5,624278730.5,
IDA & IBRD total,410559346,406836756.1,411858892.5,443665411.8,469153653.7,483202009.3,498467960.6,517364292.9,488378973.4,519544732.2,560021930.8,604687544.2,667710870,662446774,700888228.5,732541192.5,783131240.4,799318916.1,819595044.7,
IDA total,,,,,,,,,,,,,,,,,,,,
IDA blend,,,,,,,,,,,,,,,,,,,,
Indonesia,2505000,3231000,3478000,3941000,4106000,4967000,5158000,5486000,5053000,6235000,6750000,7454000,8025000,8074000,8176000,8340000,8856000,9468000,11689000,2918000
IDA only,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,
India,4564000,4940000,5351000,6213000,7185000,8340000,9783000,10868000,11067000,12988000,13994000,14920000,16626000,18330000,20376000,21872000,23943000,26296000,26915000,
Not classified,,,,,,,,,,,,,,,,,,,,
Ireland,4216000,4634000,4929000,5409000,6113000,6848000,7713000,7877000,7047000,6917000,6514000,6600000,6579000,6676000,7094000,7646000,8171000,8643000,9350000,2326000
"Iran, Islamic Rep.",,,,,,,,,,,,,,7698000,6620000,9007000,10543000,7243000,,1550000
Iraq,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,364000,440000,460000,414000,259000,299000,341000,358000,365000,400000,450000,536000,619000,668000,611000,130000
Israel,3561000,3273000,3299000,3614000,3687000,3713000,4147000,4207000,4007000,4269000,4387000,4349000,4757000,5181000,5891000,6781000,7597000,8473000,9179000,
Italy,43611000,44660000,46357000,40400000,43407000,46369000,49166000,54421000,54839000,55304000,52617000,53338000,52633000,55169000,57418000,57480000,60042000,61194601.56,62207000,21448000
Jamaica,,,,,,,,,,,,,,,,,,,,
Jordan,1755000,1276000,1229000,1420000,1523000,2139000,2094000,1972000,2054000,2708000,1931000,1567000,1498000,1230000,,1511000,1592000,1501000,1537000,406000
Japan,16216000,16523000,13296000,16831000,17404000,17535000,17295000,15987000,15446000,16637000,16994000,18491000,17473000,16903000,16214000,17116000,17889000,18954000,20081000,3174000
Kazakhstan,,,,,,3688000,4544000,4330000,5423000,6019000,8020000,9066000,10144000,10450000,11303000,9756000,10261000,10646000,10707000,2865000
Kenya,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,2273000,2354000,1342000,3061000,3621000,3993000,3790000,4008000,4185000,4446000,6839000,5314000,
