Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
India,1361000000,1362000000,800000000,967000000,2090000000,1893000000,2471000000,2477000000,,,,1765000000,2269000000,2897000000,2848000000,2808000000,3413000000,4471000000,5680000000,3203000000
Not classified,,,,,,,,,,,,,,,,,,,,
Ireland,98000000,80000000,96000000,114000000,112000000,116000000,129000000,126000000,114000000,107000000,114000000,,,,,,,,,
"Iran, Islamic Rep.",6000000,240000000,278000000,309000000,388000000,382000000,526000000,704000000,698000000,915000000,780000000,610000000,625000000,678000000,666000000,909000000,1061000000,576000000,,
Iraq,,,,,188000000,131000000,66000000,19000000,14000000,55000000,43000000,82000000,,,,,,,,
Iceland,,2000000,1000000,2000000,11000000,8000000,10000000,,,,,,,,,,,,,
Israel,942000000,779000000,791000000,867000000,885000000,887000000,991000000,1006000000,960000000,1018000000,1099000000,1099000000,1215000000,1345000000,1494000000,1763000000,1928000000,2097000000,2236000000,371000000
Italy,2204000000,2713000000,3144000000,3605000000,4402000000,4287000000,5426000000,,,,,,,,5887000000,5597000000,6918000000,7640000000,7601000000,2107000000
Jamaica,21000000,16000000,17000000,32000000,41000000,42000000,42000000,44000000,43000000,42000000,54000000,234000000,214000000,259000000,178000000,157000000,184000000,219000000,224000000,160000000
Jordan,42000000,51000000,51000000,61000000,68000000,119000000,141000000,136000000,138000000,164000000,119000000,113000000,110000000,109000000,107000000,109000000,110000000,106000000,108000000,27000000
Japan,8995000000,8321000000,7547000000,9923000000,10531000000,10779000000,10747000000,11070000000,9588000000,11356000000,12498000000,13061000000,10383000000,9295000000,7278000000,7406000000,7586000000,7899000000,7869000000,1293000000
Kazakhstan,88000000,106000000,114000000,153000000,187000000,239000000,314000000,283000000,187000000,216000000,220000000,337000000,304000000,256000000,179000000,133000000,135000000,165000000,192000000,35000000
Kenya,40000000,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,9000000,17000000,18000000,23000000,36000000,50000000,103000000,146000000,126000000,127000000,145000000,179000000,155000000,178000000,136000000,121000000,130000000,137000000,128000000,96000000
Cambodia,22000000,26000000,24000000,32000000,41000000,54000000,71000000,83000000,59000000,70000000,80000000,92000000,114000000,126000000,131000000,146000000,178000000,217000000,251000000,44000000
Kiribati,,,,,,,,,,,,,,,,,10670000.08,,,
St. Kitts and Nevis,,,,,,,,,,,,,,12000000,15000000,14000000,14000000,15000000,18000000,5000000
"Korea, Rep.",732000000,975000000,960000000,1157000000,1518000000,2138000000,2474000000,2391000000,1320000000,2022000000,2275000000,2289000000,2811000000,2944000000,2687000000,2574000000,2762000000,2889000000,2600000000,548000000
Kuwait,365000000,391000000,402000000,446000000,465000000,501000000,631000000,771000000,610000000,672000000,815000000,824000000,914000000,1012000000,767000000,895000000,1174000000,,,
Latin America & Caribbean (excluding high income),4152830736,3522317558,3753539676,4383718302,5360597142,6255899461,7537670548,8303470140,7585596754,9361925501,11074012737,12556666008,13502953652,13211317589,12034181987,11953000222,14114464732,14118523821,12893490964,
Lao PDR,4000000,4000000,4000000,4000000,5000000,6000000,6000000,10000000,8000000,12000000,11000000,9000000,3000000,3000000,4000000,100000.0015,8000000,13000000,18000000,9000000
Lebanon,,,376000000,549000000,657000000,777000000,800000000,733000000,916000000,353000000,436000000,312000000,304000000,203000000,446000000,212000000,117000000,141000000,157000000,28000000
Liberia,,,,15000000,17000000,24000000,27000000,28000000,22000000,,,,,,,,,,,
Libya,127000000,68000000,132000000,186000000,240000000,247000000,121000000,62000000,96000000,137000000,,97000000,173000000,182000000,99000000,99000000,,,,
St. Lucia,,,,,,,,,,,,,,21000000,30000000,27000000,30000000,30000000,31000000,9000000
Latin America & Caribbean,5752532506,5023626219,5220931848,6092621821,7208835155,8164420173,9728755818,10648298535,10007058632,11612965919,13791609371,15996796746,17261716726,16530737948,14690944952,14609678489,17258152106,17177861169,15762396430,
Least developed countries: UN classification,1170619219,1169241534,1324966308,1418453083,1516925095,2111579817,2544665240,3009674974,2765038290,2793527747,2919063477,3377383479,3834036447,3652049754,4062789872,3344025054,3769705796,4366138219,4218556306,
Low income,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,
Sri Lanka,152000000,175000000,183000000,203000000,238000000,293000000,316000000,349000000,324000000,375000000,425000000,509000000,620000000,659000000,732000000,753000000,810000000,827000000,798000000,354000000
Lower middle income,5969603115,6439675220,6157387775,6643941790,8769925573,9589500620,12465900754,16074418594,12143617776,15630821164,17015734206,17371233044,19092014392,20297160498,19977167361,20408122828,21468588155,23786447439,25284302374,
Low & middle income,,,,,,,,,,,,,,,,,,,,
Lesotho,3000000,2000000,4000000,7000000,9000000,3000000,8000000,5000000,8000000,8000000,10000000,7000000,6000000,7000000,6000000,4000000,4000000,5000000,4000000,1000000
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,
Lithuania,8000000,8000000,5000000,7000000,,,,,,,,,,,,,,,,
