Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Luxembourg,2.66,2.07,2.05,2.23,2.49,2.67,2.31,3.4,0.37,2.27,3.41,2.66,1.73,0.63,0.47,0.29,2.11,1.53,1.65,0.82,2.53,6.3
Latvia,2.49,1.94,2.94,6.19,6.75,6.54,10.09,15.4,3.53,-1.08,4.37,2.26,-0.03,0.62,0.17,0.14,2.89,2.53,2.75,0.22,3.28,17.3
"Macao SAR, China",-1.98,-2.64,-1.56,0.98,4.4,5.16,5.57,8.61,1.17,2.81,5.8,6.1,5.5,6.05,4.56,2.37,1.23,3,2.75,0.81,0.03,1.05
Morocco,0.61,2.78,1.16,1.49,0.98,3.29,2.04,3.89,0.97,1,0.9,1.29,1.9,0.42,1.57,1.65,0.75,1.79,0.24,0.71,1.4,6.66
Moldova,9.64,5.22,11.67,12.43,11.85,12.71,12.38,12.7,0.01,7.36,7.65,4.56,4.57,5.06,9.63,6.38,6.58,3.05,4.85,3.77,5.11,28.74
Madagascar,7.92,16.5,-1.7,13.96,18.36,10.77,10.29,9.3,8.95,9.25,9.48,5.71,5.83,6.08,7.4,6.66,8.28,7.29,5.62,4.2,5.82,9.8
Maldives,0.67,0.93,-2.8,6.34,2.46,3.5,6.8,12.03,4.55,6.16,11.26,10.89,3.8,2.12,1.89,0.8,2.27,1.37,1.31,-1.37,0.54,2.18
Mexico,6.37,5.03,4.55,4.69,3.99,3.63,3.97,5.12,5.3,4.16,3.41,4.11,3.81,4.02,2.72,2.82,6.04,4.9,3.63,3.4,5.69,7.9
Marshall Islands,,,,2.02,3.49,5.25,2.64,14.68,0.48,1.77,5.35,4.34,1.85,1.1,-2.24,-1.51,0.03,0.76,1.2,0.61,2.61,6.4
"Macedonia, FYR",5.21,1.07,0.87,-0.45,0.53,3.2,2.26,8.32,-0.74,1.5,3.89,3.31,2.79,-0.27,-0.29,-0.23,1.35,1.46,0.77,1.2,3.23,14.2
Mali,5.17,4.87,-1.16,-3.11,6.41,1.52,1.46,9.12,2.22,1.29,3.05,5.32,-0.6,0.89,1.44,-1.8,1.76,1.73,-2.89,0.44,3.93,9.99
Malta,2.51,2.61,1.93,2.79,3,2.77,1.25,4.26,2.09,1.52,2.72,2.42,1.38,0.31,1.1,0.64,1.26,1.16,1.52,0.64,1.5,6.15
Myanmar,34.5,58.1,24.95,3.76,10.74,26.33,30.93,11.54,2.25,8.22,2.77,2.83,5.72,5.11,10.04,6.76,4.62,6,8.63,6.11,5.03,16.75
Montenegro,23.73,19.7,7.5,3.1,3.45,2.12,3.37,9,3.55,0.38,3.44,4.15,2.21,-0.7,1.56,-0.27,2.37,2.6,0.37,-0.26,2.41,13.05
Mongolia,6.35,1.05,5.05,8.23,12.65,4.41,8.19,26.74,6.4,10.34,7.74,14.29,9.96,12.8,6.56,0.72,4.62,6.83,7.26,3.69,7.1,15.15
Mozambique,9.06,16.77,13.45,12.63,6.43,13.24,8.16,14.5,3.75,12.47,11.15,2.6,4.27,2.56,3.55,17.45,15.11,3.92,2.79,3.63,5.69,10.28
Mauritania,4.72,3.9,5.15,10.37,12.13,6.24,7.25,7.45,2.14,6.26,5.69,4.9,4.13,3.77,0.49,1.47,2.27,3.07,2.31,2.39,3.77,7.1
Mauritius,5.4,6.45,3.88,4.7,4.94,8.93,8.86,9.67,2.56,2.97,6.53,3.83,3.54,3.19,1.32,0.95,3.68,3.21,0.45,2.58,4.03,10.77
Malawi,7.64,7.71,7.83,7.98,8.16,8.34,8.52,8.72,8.42,7.41,7.62,21.3,28.28,23.77,21.86,21.73,11.54,9.22,9.38,8.63,9.34,18.45
Malaysia,1.43,1.79,1.07,1.42,3.04,3.62,2.03,5.43,0.6,1.72,3.17,1.66,2.11,3.14,2.1,2.08,3.8,0.97,0.66,-1.14,2.48,3.38
Namibia,10.21,12.72,7.21,4.14,2.27,4.96,6.57,9.08,9.43,4.9,5.01,6.7,5.63,5.34,3.41,6.68,6.15,4.28,3.72,2.21,3.62,6.08
Niger,3.9,2.67,-1.89,0.57,7.82,0.05,0.06,11.29,4.3,-2.79,2.94,0.47,2.29,-0.94,1.01,0.18,0.2,3.01,-2.52,2.76,3.84,4.23
Nigeria,18.84,12.89,14.01,15.06,17.82,8.28,5.42,11.57,12.57,13.74,10.81,12.2,8.48,8.04,9.01,15.69,16.5,12.1,11.4,13.25,16.95,18.85
Nicaragua,7.36,3.75,5.3,8.47,9.6,9.14,11.13,19.83,3.69,5.45,8.08,7.19,7.14,6.04,3.99,3.52,3.85,4.94,5.38,3.68,4.93,10.47
Netherlands,4.16,3.29,2.09,1.26,1.69,1.1,1.61,2.49,1.19,1.28,2.34,2.46,2.51,0.98,0.6,0.32,1.3,1.7,2.67,1.27,2.68,10
Norway,3,1.29,2.49,0.45,1.53,2.33,0.71,3.75,2.2,2.42,1.28,0.7,2.12,2.04,2.17,3.55,1.88,2.76,2.17,1.29,3.48,5.8
Nepal,2.43,2.9,4.74,3.96,4.54,7.96,6.2,6.68,12.62,9.56,9.57,8.31,9.87,9.04,7.21,9.93,4.45,4.15,4.64,5.05,3.6,6.26
Nauru,,,,,8.66,19.3,5.6,1.03,22.42,-1.97,-3.37,0.26,-1.11,0.28,9.78,8.15,5.08,0.46,4.3,0.89,1.2,2
New Zealand,2.63,2.68,1.75,2.29,3.04,3.37,2.38,3.96,2.12,2.3,4.03,1.06,1.13,1.23,0.29,0.65,1.85,1.6,1.62,1.71,3.94,6.28
